group,names,scores,logfoldchanges,pvals,pvals_adj
9,TPX2,30.994503,,6.392890185645061e-211,8.062043370782768e-208
9,PPIA,30.962475,,1.7260186050729233e-210,2.0777341235521014e-207
9,PTMA,30.953978,,2.2461118810589635e-210,2.5862513454819362e-207
9,H2AFZ,30.852732,,5.148576168411488e-209,5.68123927783506e-206
9,ASPM,30.31941,,6.3610519797165735e-202,6.73838958315336e-199
9,TMPO,30.143192,,1.3172768880991473e-199,1.341747839520374e-196
9,NUCKS1,29.739384,,2.378964125019935e-194,2.3334113675149234e-191
9,SMC2,29.33557,,3.651106374950345e-189,3.453294647421785e-186
9,DUT,28.390482,,2.650526180506907e-177,2.420478787529807e-174
9,HIST1H4C,28.01741,,9.97092650701127e-173,8.802001556172648e-170
9,ARPC2,27.893887,,3.1648062441445906e-171,2.703663347215522e-168
9,CDK1,27.863544,,7.382399895982805e-171,5.92448777107008e-168
9,PTTG1,27.853914,,9.657401127316603e-171,7.522263354550753e-168
9,EZH2,27.787262,,6.183399454853785e-170,4.67871336465408e-167
9,CORO1A,27.69427,,8.184715910871039e-169,6.020995318544382e-166
9,RAN,27.206156,,5.492339052865389e-163,3.9311787874874076e-160
9,RRM2,27.186005,,9.507768863077361e-163,6.626164284233625e-160
9,CKS1B,27.122263,,5.380101132195362e-162,3.6533645713828146e-159
9,ACTG1,26.931574,,9.377684545919273e-160,6.208730495739502e-157
9,HMGN1,26.776869,,6.009653497453566e-158,3.881796428611287e-155
9,UBE2C,26.63194,,2.897380955870921e-156,1.826936663198324e-153
9,COX8A,26.337223,,7.189793464003154e-153,4.4280767513301287e-150
9,CBX3,26.084578,,5.455267618706401e-150,3.2834511896864007e-147
9,ATAD2,26.078613,,6.374909351952137e-150,3.751704985949965e-147
9,KIF11,25.882128,,1.0585419833198071e-147,6.0942102922300984e-145
9,ANP32E,25.847294,,2.6096748035063464e-147,1.4704684642820975e-144
9,CENPE,25.808657,,7.089678253305612e-147,3.911582274631094e-144
9,BIRC5,25.76258,,2.3301449410692806e-146,1.2593720096803625e-143
9,CALM3,25.588337,,2.0570921597594544e-144,1.0895594333381925e-141
9,MAD2L1,25.58496,,2.2430443624336326e-144,1.1647557617711744e-141
10,IGFBP7,35.62971,,4.858553323725906e-278,1.2866906767223317e-273
10,SPARCL1,34.731964,,2.5949269283471506e-264,3.4360724921708796e-260
10,GNG11,34.606785,,1.997347246308115e-262,1.7631915707992603e-258
10,A2M,33.40565,,1.1349547222198137e-244,6.94529413769329e-241
10,PECAM1,33.401333,,1.3112740508426708e-244,6.94529413769329e-241
10,IFI27,33.27351,,9.332607496313995e-243,4.119257405414725e-239
10,IFITM3,32.49408,,1.2927339116572698e-231,4.449312195086431e-228
10,HSPG2,32.49288,,1.3440508084692614e-231,4.449312195086431e-228
10,SPARC,31.939877,,7.467578331511588e-224,2.197376410593571e-220
10,CALCRL,31.696209,,1.7522126997151394e-220,4.6403848926556035e-217
10,ADGRL4,31.589441,,5.155671829705896e-219,1.2412514278736476e-215
10,TCF4,31.512667,,5.825745529399231e-218,1.2856934904589986e-214
10,IGFBP4,31.484146,,1.4318639051320004e-217,2.9169270615085207e-214
10,ENG,30.834892,,8.930634741712204e-209,1.576733332431762e-205
10,VWF,30.692053,,7.266211416141854e-207,1.2026942308355296e-203
10,TM4SF1,30.688614,,8.07559923680199e-207,1.258035850518983e-203
10,CAVIN1,30.574257,,2.6921163124395377e-205,3.960850905685349e-202
10,EPAS1,30.448265,,1.2629346721869038e-203,1.7603315222908302e-200
10,NFIB,30.421118,,2.888007784051994e-203,3.824155507252448e-200
10,MGP,30.308687,,8.807496378706826e-202,1.1107091742728231e-198
10,COL4A1,30.228296,,1.0064219497735563e-200,1.2115032952660496e-197
10,VIM,30.11884,,2.7460239125077636e-199,3.1618674467366567e-196
10,RAMP2,30.027931,,4.2398030467432035e-198,4.678446003620844e-195
10,EGFL7,29.949644,,4.447018105346312e-197,4.710815219355455e-194
10,APP,29.807589,,3.1150000334921656e-195,3.1728671494989627e-192
10,CAV1,29.78044,,7.00088860615745e-195,6.8668345539580634e-192
10,CD93,29.614258,,9.792147420307435e-193,9.261622861857207e-190
10,CD59,29.567135,,3.955054980987802e-192,3.611783484879308e-189
10,EMP1,29.40797,,4.3431323716040963e-190,3.8339724865730425e-187
10,CD34,29.362469,,1.6564131434692013e-189,1.4150577186611243e-186
10,ARHGAP29,29.345703,,2.7111348473955505e-189,2.2437182551117615e-186
10,FKBP1A,29.30501,,8.953527474318262e-189,7.1853414576475916e-186
10,CRIP2,29.301968,,9.789882127501907e-189,7.625454364195088e-186
10,PALMD,29.283169,,1.6990111523236897e-188,1.2855689241996651e-185
10,CDH5,29.067648,,9.208481686691449e-186,6.774117236351379e-183
10,COL4A2,28.891907,,1.5089014416604943e-183,1.08000640214851e-180
10,SOX18,28.62648,,3.1465277561177275e-180,2.1928814359280468e-177
10,FLT1,28.573017,,1.4543907234729638e-179,9.876058853778077e-177
10,ELK3,28.533548,,4.49496144105237e-179,2.976001596084748e-176
10,AQP1,28.489403,,1.5849639078341897e-178,1.0237707114920206e-175
10,ESAM,28.35512,,7.237720941163043e-177,4.563727706781449e-174
10,CLEC14A,28.222961,,3.0569359380006257e-175,1.882717080141176e-172
10,CALD1,27.835773,,1.6014517349743242e-170,9.424721399405561e-168
10,RNASE1,27.782803,,6.999842680899434e-170,4.029931167788255e-167
10,NPDC1,27.675274,,1.385821212066262e-168,7.808660246627834e-166
10,PLVAP,27.61422,,7.510503874954275e-168,4.143764044175293e-165
10,NRP1,27.358662,,8.518102945677258e-165,4.603773883885119e-162
10,PCDH17,27.354733,,9.486083781905145e-165,5.024399135923878e-162
10,ECSCR,27.348528,,1.1243398159781041e-164,5.838410067950614e-162
10,PTPRB,27.336535,,1.5613235744872486e-164,7.951640812143425e-162
11,CXCL8,35.32554,,2.3813502687673995e-273,6.306529916776705e-269
11,NAMPT,35.00428,,1.9366829470871542e-268,2.564458724385455e-264
11,FTH1,34.849304,,4.36231951709687e-266,3.850910259042547e-262
11,NEAT1,31.962343,,3.6402089188863166e-224,2.410091319971658e-220
11,S100A9,31.174942,,2.3295988545023915e-213,1.2338953292757367e-209
11,SOD2,30.160479,,7.817656020951702e-200,2.9576426343266273e-196
11,G0S2,29.458418,,9.822236157484123e-191,2.890247557318356e-187
11,FCGR3B,29.125313,,1.7165420229490004e-186,4.545918239375838e-183
11,SRGN,27.953104,,6.043760239592519e-172,8.892050134729372e-169
11,IFITM2,27.123325,,5.227203396497282e-162,5.768001147893229e-159
11,H3F3A,26.471678,,2.05430073139945e-154,1.754969234504891e-151
11,LITAF,26.370869,,2.958435820196698e-153,2.3043604654785046e-150
11,S100A8,25.435736,,1.015409248912269e-142,5.48797615080482e-140
11,CSF3R,24.62416,,6.962751458236306e-134,3.1253313028554595e-131
11,BCL2A1,24.329142,,9.640270668450845e-131,3.9277428940397495e-128
11,FTL,24.24605,,7.277880102876475e-130,2.793334764702575e-127
11,ITM2B,23.424036,,2.4319200911318832e-121,8.587271969792755e-119
11,SAT1,23.027826,,2.4538938860871516e-117,8.123308973155754e-115
11,S100A11,22.672142,,8.438729300003662e-114,2.629210212376435e-111
11,TYROBP,21.774715,,4.0297093479565805e-105,1.1727339852959793e-102
11,IER3,21.04452,,2.5670249005868703e-98,7.008507262086813e-96
11,GLUL,20.31289,,9.891305410439112e-92,2.61951441184659e-89
11,MNDA,20.24367,,4.039454503630723e-91,1.0591769665312124e-88
11,PLAUR,20.236864,,4.6376297272354637e-91,1.2041014516311449e-88
11,MXD1,20.20918,,8.128432748596283e-91,2.0899542182628675e-88
11,LST1,19.501608,,1.0638336655343124e-84,2.6086580522541844e-82
11,ALOX5AP,19.37559,,1.2403301411107505e-83,3.013547075874863e-81
11,IVNS1ABP,19.045597,,7.146564291555592e-81,1.6898434119041673e-78
11,PLEK,18.318052,,5.940017585732832e-75,1.333131234940361e-72
11,RNF149,18.308516,,7.077201398848838e-75,1.5750044087875108e-72
11,PHACTR1,18.273453,,1.3465440135065446e-74,2.9471508355118857e-72
11,CEBPB,18.251238,,2.022716947740356e-74,4.3907879448367093e-72
11,B2M,17.980942,,2.74782909933555e-72,5.916321791683201e-70
11,FCGR2A,17.462969,,2.742876461499523e-68,5.719653333062352e-66
11,NCF2,16.947495,,2.008295972029457e-64,3.9989249794929405e-62
11,FPR1,16.76654,,4.2875186768105495e-63,8.410841267998059e-61
11,SLC25A37,16.482527,,4.8993468019535564e-61,9.334489306196836e-59
11,SDCBP,16.342018,,4.9583726761384155e-60,9.283234162545343e-58
11,LCP2,16.341784,,4.977605449085975e-60,9.283234162545343e-58
11,CTSS,16.25276,,2.1353405241124914e-59,3.9000153862118007e-57
11,H3F3B,15.573967,,1.0940638473636905e-54,1.848587297322456e-52
11,LRRK2,15.461353,,6.325582373857167e-54,1.047002487542871e-51
11,SERPINA1,15.443928,,8.28946216508105e-54,1.3635392951418724e-51
11,IGSF6,15.174341,,5.229983681392283e-52,8.343714327368184e-50
11,SMCHD1,15.148316,,7.773269516551291e-52,1.232691596448071e-49
11,AQP9,15.147837,,7.830207526113247e-52,1.2343296780598637e-49
11,LYN,14.971587,,1.126010731300567e-50,1.704008125544738e-48
11,DUSP1,14.895835,,3.5077605910904136e-50,5.248362922816239e-48
11,C5AR1,14.892445,,3.6902856535206195e-50,5.490440166414976e-48
11,PPIF,14.594873,,3.027743216380509e-48,4.3109528816884415e-46
12,KRT18,20.454956,,5.4270252603503305e-93,4.7907969989952596e-89
12,KRT8,19.280523,,7.828176021800007e-83,4.146271711706591e-79
12,S100A6,18.312143,,6.621163902064493e-75,2.922471393639566e-71
12,HMGB1,17.806976,,6.2390299624577575e-71,1.8358692277307646e-67
12,LYZ,17.544699,,6.529865733268309e-69,1.7293043421414463e-65
12,KRT19,17.313053,,3.7499301586813374e-67,8.275783366029821e-64
12,TOP2A,17.265718,,8.523751979645027e-67,1.6123894548352802e-63
12,MKI67,17.175743,,4.034578642062604e-66,7.123183078516262e-63
12,ANXA2,17.104836,,1.3658528126910297e-65,2.260742502406034e-62
12,IFI27,16.3603,,3.67308868589655e-60,4.421563984936288e-57
